epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,3152.8,1.0046,0.64654,1.21352,0.03172,0.83817,0.80757,0.86838,0.58924,1.12775,0.71917,1.42998,0.00352,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472
86,3181.67,1.00373,0.64519,1.20744,0.03231,0.83811,0.80039,0.86616,0.58639,1.1309,0.73093,1.43439,0.00357,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
87,3210.66,0.99701,0.64124,1.21159,0.03306,0.83045,0.8154,0.8705,0.59043,1.12612,0.72696,1.43177,0.0036,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888
88,3255.65,0.99711,0.64157,1.20866,0.03135,0.83283,0.80443,0.86753,0.5856,1.14093,0.733,1.44073,0.00371,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096
89,3285.01,0.99124,0.63534,1.20679,0.03091,0.82347,0.81256,0.86794,0.5871,1.14188,0.73385,1.4414,0.00331,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304
90,3314.18,0.98561,0.63304,1.19803,0.03193,0.83937,0.80818,0.869,0.58633,1.14349,0.73988,1.44173,0.00348,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512
91,3358.77,0.99467,0.63888,1.20912,0.0308,0.83038,0.8143,0.87145,0.58574,1.14471,0.73062,1.44902,0.00346,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
92,3397.69,0.99284,0.63713,1.2073,0.03161,0.83676,0.80683,0.86991,0.58597,1.1391,0.73065,1.4362,0.00367,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928
93,3428.8,0.98712,0.63435,1.20905,0.02963,0.84624,0.8072,0.87439,0.59233,1.12948,0.7203,1.43533,0.00387,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136
94,3457.53,0.97795,0.62615,1.19918,0.03133,0.83907,0.80546,0.87091,0.58728,1.14055,0.72047,1.44551,0.00386,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344
95,3486.04,0.979,0.63003,1.20298,0.03188,0.82893,0.81562,0.86945,0.5856,1.14382,0.73834,1.45654,0.00351,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552
96,3515.96,0.97613,0.62079,1.20614,0.02987,0.82446,0.80895,0.86324,0.58432,1.14163,0.74279,1.44916,0.00359,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
97,3651.62,0.97184,0.62447,1.19627,0.02903,0.81753,0.82727,0.87042,0.58301,1.15426,0.73147,1.46543,0.00371,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968
98,3680.52,0.98314,0.62811,1.19883,0.0326,0.82155,0.81993,0.8669,0.58458,1.14342,0.72583,1.45314,0.00365,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176
99,3709.48,0.96692,0.62055,1.19524,0.02889,0.82486,0.81271,0.86548,0.58488,1.14955,0.73943,1.4574,0.00371,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384
100,3739.49,0.97923,0.62539,1.19668,0.0324,0.8289,0.81009,0.86545,0.58162,1.16381,0.73364,1.47182,0.00361,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592
101,3768.71,0.97369,0.62251,1.19543,0.02997,0.83746,0.81124,0.87297,0.58752,1.13832,0.72577,1.45362,0.00366,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
102,3797.25,0.96743,0.61754,1.19589,0.02963,0.83293,0.81944,0.86996,0.58977,1.14112,0.7324,1.4541,0.0037,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008
103,3829.39,0.96842,0.62021,1.19289,0.02839,0.82483,0.82252,0.86929,0.58485,1.15166,0.72929,1.46404,0.00369,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216
104,3860.34,0.97158,0.62113,1.19484,0.02851,0.83156,0.81834,0.87001,0.58696,1.15213,0.73193,1.45919,0.00367,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424
105,3889.45,0.96258,0.61496,1.19283,0.0307,0.82962,0.81711,0.8695,0.58601,1.14952,0.72537,1.46643,0.00352,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632
106,3919.46,0.96784,0.61514,1.19222,0.03089,0.84287,0.80897,0.87334,0.58862,1.15593,0.72936,1.47095,0.00359,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
107,3950.86,0.96176,0.61527,1.19034,0.03006,0.82784,0.81797,0.87014,0.58296,1.16469,0.72685,1.47963,0.00347,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048
